DA,Source,Target,Indexed,Source_url,Target_url
38,Orange Spice Summer Cooler - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/orange-spice-summer-cooler"", ""https://mositea.com/blogs/recipes/orange-spice-summer-cooler"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Best Types of Teas for Energy — Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/tea-basics/best-types-of-tea-for-energy"", ""https://mositea.com/blogs/tea-basics/best-types-of-tea-for-energy"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Morning Black Berry Iced Tea - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/morning-black-berry-iced-tea"", ""https://mositea.com/blogs/recipes/morning-black-berry-iced-tea"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Tea Bundles – Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/tea-bundles"", ""https://mositea.com/collections/tea-bundles"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"Orange Spice Green Tea, Citrus & Spice Flavor - Mosi – Mosi Tea",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/all-1/products/orange-spice"", ""https://mositea.com/collections/all-1/products/orange-spice"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Mosi Tea – A Starter Kit to Brew The Best Cup of Tea at Home or Office,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/products/basic-tea-starter-kit-copy"", ""https://mositea.com/products/basic-tea-starter-kit-copy"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Floral Fusion Gift Set - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/products/floral-fusion-gift-set"", ""https://mositea.com/products/floral-fusion-gift-set"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Peach Green Mint Iced Tea - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/peach-green-mint-iced-tea"", ""https://mositea.com/blogs/recipes/peach-green-mint-iced-tea"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Himalayan Oolong Festive Fireside - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/himalayan-oolong-festive-fireside"", ""https://mositea.com/blogs/recipes/himalayan-oolong-festive-fireside"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
100,StoreLens - Shopify Theme Analyzer - Chrome Web Store  dalnjlpbpbaailbadbjmghchek,privacy policy,2025-06-13,"=HYPERLINK(""https://chromewebstore.google.com/detail/storelens-shopify-theme-a/ebadph"", ""https://chromewebstore.google.com/detail/storelens-shopify-theme-a/ebadph"")","=HYPERLINK(""https://www.propero.in/pages/storelens-privacy-policy"", ""https://www.propero.in/pages/storelens-privacy-policy"")"
38,Recent Posts – Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/pages/recent-posts"", ""https://mositea.com/pages/recent-posts"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Lavender Berry Spritzer - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/lavender-berry-spritzer"", ""https://mositea.com/blogs/recipes/lavender-berry-spritzer"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Chocolate Black Tea Smoothie - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/chocolate-black-tea-smoothie"", ""https://mositea.com/blogs/recipes/chocolate-black-tea-smoothie"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Premium Loose Leaf Herbal Tea | Green Chamomile by Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/all-loose-leaf-teas/products/green-chamomile"", ""https://mositea.com/collections/all-loose-leaf-teas/products/green-chamomile"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Bundles – Mosi Tea  F5i27ysv3j8.execute-api.us-west-2.amazonaws.com%2Fprod%2Fstores%2Fe8a 44b80-7073-498e-8663-b5a1a14c0fe5%2Fproducts%2Fshopify-8118302539951 %2Freviews%3Flimit%3D5%26orderBy%3Dhas_media%2520desc%26lastEvalua ted%3D%257B%2522subscriberId_collectionId%2522%253A%2522e8a44b80-7 073-498e-8663-b5a1a14c0fe5%253Ab03701ce-04eb-4dd1-80ab-46875c014e42 %2522%252C%2522reviewId%2522%253A%25227d54d304-0425-4aae-a51e-f5e 5ba1bc77c%2522%252C%2522_hasMedia_dateCreated%2522%253A%2522true %253A2025-03-18T19%253A15%253A55.605Z%2522%257D&okeReviewsPageN um=2,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/bundles?okeReviewsNextUrl=https%3A%2F%2"", ""https://mositea.com/collections/bundles?okeReviewsNextUrl=https%3A%2F%2"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"Mosi Tea - Portable Tea, Matcha, and Cold-brew Infusers and Tea",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/"", ""https://mositea.com/"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"Orange Spice Green Tea, Citrus & Spice Flavor - Mosi – Mosi Tea",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/all-loose-leaf-teas/products/orange-spice"", ""https://mositea.com/collections/all-loose-leaf-teas/products/orange-spice"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Limited Release by Mosi Tea | Exclusive Access to Rare Tea  mn-spice,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/limited-release/products/limited-release-autu"", ""https://mositea.com/collections/limited-release/products/limited-release-autu"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Lavender Chamomile Herbal Tea - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/products/lavender-chamomile"", ""https://mositea.com/products/lavender-chamomile"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Raspberry Mint Margarita - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/raspberry-mint-margarita"", ""https://mositea.com/blogs/recipes/raspberry-mint-margarita"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Vanilla Matcha Fudge - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/vanilla-matcha-fudge"", ""https://mositea.com/blogs/recipes/vanilla-matcha-fudge"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Portable Tea Infuser for Loose Leaf Teas - Mosi – Mosi Tea  289748861103,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/infusers/products/mosi-tea-infuser?variant=44"", ""https://mositea.com/collections/infusers/products/mosi-tea-infuser?variant=44"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Rose Blackberry Crisp Tea - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/rose-blackberry-crisp-tea"", ""https://mositea.com/blogs/recipes/rose-blackberry-crisp-tea"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"Mosi Tea - Cold Brew Sieve Attachment for Tea, Coffee, & Infusions",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/all-1/products/cold-brew-sieve"", ""https://mositea.com/collections/all-1/products/cold-brew-sieve"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Mosi Tea – Brew Anything Starter Kit with our All in One Infuser & Premium Tea Bundle,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/products/brew-anything-starter-kit"", ""https://mositea.com/products/brew-anything-starter-kit"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,His & Hers Gift Set – Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/products/his-hers-gift-set"", ""https://mositea.com/products/his-hers-gift-set"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Green Mint and Peach Smoothie - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/green-mint-and-peach-smoothie"", ""https://mositea.com/blogs/recipes/green-mint-and-peach-smoothie"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Pumpkin Spice Rose Black Latte - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/pumpkin-spice-rose-black-latte"", ""https://mositea.com/blogs/recipes/pumpkin-spice-rose-black-latte"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Tea Time Essentials Gift Set - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/gift-sets/products/tea-time-essentials-gift-set"", ""https://mositea.com/collections/gift-sets/products/tea-time-essentials-gift-set"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Limited Release by Mosi Tea | Exclusive Access to Rare Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/all/products/limited-release-saffron-chai"", ""https://mositea.com/collections/all/products/limited-release-saffron-chai"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Earl Grey Black Tea - Mosi – Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/all-loose-leaf-teas/products/earl-grey"", ""https://mositea.com/collections/all-loose-leaf-teas/products/earl-grey"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"What is Cold Brew Coffee, Why It's Better, How to Make It - Mosi Tea  better-and-how-to-make-it",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/tea-basics/cold-brew-coffee-101-what-it-is-why-it-s-"", ""https://mositea.com/blogs/tea-basics/cold-brew-coffee-101-what-it-is-why-it-s-"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Warm Vanilla Matcha Milk - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/warm-vanilla-matcha-milk"", ""https://mositea.com/blogs/recipes/warm-vanilla-matcha-milk"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Rose Black Raspberry Fizz - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/rose-black-raspberry-fizz"", ""https://mositea.com/blogs/recipes/rose-black-raspberry-fizz"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Green Chamomile Tea Blueberry Smoothie - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/green-chamomile-tea-blueberry-smoothie"", ""https://mositea.com/blogs/recipes/green-chamomile-tea-blueberry-smoothie"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Mango Mint Iced Green Tea Cocktail - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/mango-mint-iced-green-tea-cocktail"", ""https://mositea.com/blogs/recipes/mango-mint-iced-green-tea-cocktail"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"Mosi Tea - Cold Brew Sieve Attachment for Tea, Coffee, & Infusions  %2F%2F5i27ysv3j8.execute-api.us-west-2.amazonaws.com%2Fprod%2Fstores% 2Fe8a44b80-7073-498e-8663-b5a1a14c0fe5%2Fproducts%2Fshopify-69464599 43087%2Freviews%3Flimit%3D5%26orderBy%3Dhas_media%2520desc%26last Evaluated%3D%257B%2522subscriberId%2522%253A%2522e8a44b80-7073-49 8e-8663-b5a1a14c0fe5%2522%252C%2522subscriberId_productId%2522%253 A%2522e8a44b80-7073-498e-8663-b5a1a14c0fe5%253Ashopify-694645994308 7%2522%252C%2522reviewId%2522%253A%25220df801a6-83f6-448b-ac20-c6 6c5895adf2%2522%252C%2522_hasMedia_dateCreated%2522%253A%2522fal se%253A2022-10-07T16%253A30%253A40.000Z%2522%257D&okeReviewsPag eNum=2",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/products/cold-brew-sieve?okeReviewsNextUrl=https%3A"", ""https://mositea.com/products/cold-brew-sieve?okeReviewsNextUrl=https%3A"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"Mosi Tea - Matcha Sieve Attachment for Matcha, Lattes, & Powders",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/products/matcha-sieve"", ""https://mositea.com/products/matcha-sieve"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"Portable All in One Tea, Match, and Coffee Infuser - Mosi – Mosi Tea  %2F%2F5i27ysv3j8.execute-api.us-west-2.amazonaws.com%2Fprod%2Fstores% 2Fe8a44b80-7073-498e-8663-b5a1a14c0fe5%2Fproducts%2Fshopify-65734668 12591%2Freviews%3Flimit%3D5%26orderBy%3Dhas_media%2520desc%26last Evaluated%3D%257B%2522subscriberId%2522%253A%2522e8a44b80-7073-49 8e-8663-b5a1a14c0fe5%2522%252C%2522subscriberId_productId%2522%253 A%2522e8a44b80-7073-498e-8663-b5a1a14c0fe5%253Ashopify-657346681259 1%2522%252C%2522reviewId%2522%253A%2522ab8cb8c6-dea0-495e-9c12-36 c4670b064d%2522%252C%2522_hasMedia_dateCreated%2522%253A%2522tr ue%253A2024-04-10T21%253A32%253A15.793Z%2522%257D&okeReviewsPag eNum=2",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/products/all-in-one-infuser?okeReviewsNextUrl=https%3A"", ""https://mositea.com/products/all-in-one-infuser?okeReviewsNextUrl=https%3A"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,"Rose Black Tea Blend: Bold & Floral, High Caffeine - Mosi – Mosi Tea",Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/products/rose-black"", ""https://mositea.com/products/rose-black"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Premium Loose Leaf Herbal Tea | Rooibos Lavender by Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/collections/best-sellers/products/rooibos-lavender"", ""https://mositea.com/collections/best-sellers/products/rooibos-lavender"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Vanilla Matcha Spiced Apple Latte - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/vanilla-matcha-spiced-apple-latte"", ""https://mositea.com/blogs/recipes/vanilla-matcha-spiced-apple-latte"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Assam Black Tea Chicken Thighs - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/assam-black-tea-chicken-thighs"", ""https://mositea.com/blogs/recipes/assam-black-tea-chicken-thighs"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Pumpkin Pie Spice Chai Latte - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/pumpkin-pie-spice-chai-latte"", ""https://mositea.com/blogs/recipes/pumpkin-pie-spice-chai-latte"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Recipes – Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes"", ""https://mositea.com/blogs/recipes"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
38,Figgy Rose Harvest Elixir - Mosi Tea,Powered by Propero,2025-06-13,"=HYPERLINK(""https://mositea.com/blogs/recipes/figgy-rose-harvest-elixir"", ""https://mositea.com/blogs/recipes/figgy-rose-harvest-elixir"")","=HYPERLINK(""https://www.propero.in/"", ""https://www.propero.in/"")"
